timestamp,video_id,viewers,started_at,duration,status_text,url
1662572460,xI6ph__1wnc,4670,1662566757,5705,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5705
1662572520,xI6ph__1wnc,4703,1662566757,5765,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5765
1662572580,xI6ph__1wnc,4692,1662566757,5825,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5825
1662572641,xI6ph__1wnc,4689,1662566757,5886,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5886
1662572700,xI6ph__1wnc,4715,1662566757,5945,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=5945
1662572760,xI6ph__1wnc,4683,1662566757,6005,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6005
1662572821,xI6ph__1wnc,4700,1662566757,6066,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6066
1662572880,xI6ph__1wnc,4753,1662566757,6125,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6125
1662572941,xI6ph__1wnc,4786,1662566757,6186,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6186
1662573001,xI6ph__1wnc,4833,1662566757,6246,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6246
1662573060,xI6ph__1wnc,4889,1662566757,6305,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6305
1662573120,xI6ph__1wnc,4906,1662566757,6365,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6365
1662573181,xI6ph__1wnc,4935,1662566757,6426,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6426
1662573241,xI6ph__1wnc,4925,1662566757,6486,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6486
1662573301,xI6ph__1wnc,4951,1662566757,6546,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6546
1662573360,xI6ph__1wnc,5005,1662566757,6605,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6605
1662573420,xI6ph__1wnc,5005,1662566757,6605,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6605
1662573420,xI6ph__1wnc,5063,1662566757,6665,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6665
1662573482,xI6ph__1wnc,5048,1662566757,6726,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6726
1662573541,xI6ph__1wnc,5056,1662566757,6786,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6786
1662573601,xI6ph__1wnc,5076,1662566757,6846,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6846
1662573661,xI6ph__1wnc,5096,1662566757,6906,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6906
1662573721,xI6ph__1wnc,5090,1662566757,6966,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=6966
1662573781,xI6ph__1wnc,5151,1662566757,7025,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7025
1662573842,xI6ph__1wnc,5158,1662566757,7087,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7087
1662573900,xI6ph__1wnc,5195,1662566757,7145,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7145
1662573961,xI6ph__1wnc,5195,1662566757,7206,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7206
1662574021,xI6ph__1wnc,5142,1662566757,7266,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7266
1662574081,xI6ph__1wnc,4875,1662566757,7326,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7326
1662574141,xI6ph__1wnc,4746,1662566757,7386,Chillin' today | Talk with Angela from TikTok tonight at 2000 EDT,https://youtu.be/xI6ph__1wnc?t=7386
